County,County Code,Deaths,Population,Crude Rate
"Lemhi County, ID",16059,Suppressed,7961,Suppressed
"Lewis County, ID",16061,Suppressed,3861,Suppressed
"Lincoln County, ID",16063,Suppressed,5360,Suppressed
"Madison County, ID",16065,Suppressed,39304,Suppressed
"Minidoka County, ID",16067,Suppressed,20825,Suppressed
"Nez Perce County, ID",16069,Suppressed,40408,Suppressed
"Oneida County, ID",16071,Suppressed,4488,Suppressed
"Owyhee County, ID",16073,Suppressed,11693,Suppressed
"Payette County, ID",16075,Suppressed,23551,Suppressed
"Power County, ID",16077,Suppressed,7768,Suppressed
"Shoshone County, ID",16079,Suppressed,12796,Suppressed
"Teton County, ID",16081,Suppressed,11640,Suppressed
"Twin Falls County, ID",16083,Suppressed,86081,Suppressed
"Valley County, ID",16085,Suppressed,11041,Suppressed
"Washington County, ID",16087,Suppressed,10161,Suppressed
"Adams County, IL",17001,Suppressed,65691,Suppressed
"Alexander County, IL",17003,Suppressed,6060,Suppressed
"Bond County, IL",17005,Suppressed,16630,Suppressed
"Boone County, IL",17007,11,53577,Unreliable
"Brown County, IL",17009,Suppressed,6556,Suppressed
"Bureau County, IL",17011,Suppressed,32993,Suppressed
"Calhoun County, IL",17013,Suppressed,4802,Suppressed
"Carroll County, IL",17015,Suppressed,14312,Suppressed
"Cass County, IL",17017,Suppressed,12260,Suppressed
"Champaign County, IL",17019,20,209983,9.5
"Christian County, IL",17021,Suppressed,32661,Suppressed
"Clark County, IL",17023,Suppressed,15596,Suppressed
"Clay County, IL",17025,Suppressed,13253,Suppressed
"Clinton County, IL",17027,Suppressed,37639,Suppressed
"Coles County, IL",17029,Suppressed,50885,Suppressed
"Cook County, IL",17031,1018,5180493,19.7
"Crawford County, IL",17033,Suppressed,18807,Suppressed
"Cumberland County, IL",17035,Suppressed,10808,Suppressed
"DeKalb County, IL",17037,13,104143,Unreliable
"De Witt County, IL",17039,Suppressed,15769,Suppressed
"Douglas County, IL",17041,Suppressed,19479,Suppressed
"DuPage County, IL",17043,138,928589,14.9
"Edgar County, IL",17045,Suppressed,17360,Suppressed
"Edwards County, IL",17047,Suppressed,6392,Suppressed
"Effingham County, IL",17049,Suppressed,34208,Suppressed
"Fayette County, IL",17051,Suppressed,21416,Suppressed
"Ford County, IL",17053,Suppressed,13264,Suppressed
"Franklin County, IL",17055,Suppressed,38701,Suppressed
"Fulton County, IL",17057,Suppressed,34844,Suppressed
"Gallatin County, IL",17059,Suppressed,5058,Suppressed
"Greene County, IL",17061,Suppressed,13044,Suppressed
"Grundy County, IL",17063,11,50972,Unreliable
"Hamilton County, IL",17065,Suppressed,8163,Suppressed
"Hancock County, IL",17067,Suppressed,17844,Suppressed
"Hardin County, IL",17069,Suppressed,3910,Suppressed
"Henderson County, IL",17071,Suppressed,6709,Suppressed
"Henry County, IL",17073,Suppressed,49090,Suppressed
"Iroquois County, IL",17075,Suppressed,27604,Suppressed
"Jackson County, IL",17077,14,57419,Unreliable
"Jasper County, IL",17079,Suppressed,9611,Suppressed
"Jefferson County, IL",17081,Suppressed,37820,Suppressed
"Jersey County, IL",17083,Suppressed,21847,Suppressed
"Jo Daviess County, IL",17085,Suppressed,21366,Suppressed
"Johnson County, IL",17087,Suppressed,12456,Suppressed
"Kane County, IL",17089,63,534216,11.8
"Kankakee County, IL",17091,24,110024,21.8
"Kendall County, IL",17093,15,127915,Unreliable
"Knox County, IL",17095,Suppressed,50112,Suppressed
"Lake County, IL",17097,70,700832,10
"LaSalle County, IL",17099,35,109430,32
"Lawrence County, IL",17101,Suppressed,15765,Suppressed
"Lee County, IL",17103,Suppressed,34223,Suppressed
"Livingston County, IL",17105,Suppressed,35761,Suppressed
"Logan County, IL",17107,Suppressed,28925,Suppressed
"McDonough County, IL",17109,Suppressed,29955,Suppressed
"McHenry County, IL",17111,49,308570,15.9
"McLean County, IL",17113,29,172828,16.8
"Macon County, IL",17115,15,104712,Unreliable
"Macoupin County, IL",17117,Suppressed,45313,Suppressed
"Madison County, IL",17119,94,264461,35.5
"Marion County, IL",17121,Suppressed,37620,Suppressed
"Marshall County, IL",17123,Suppressed,11534,Suppressed
"Mason County, IL",17125,Suppressed,13565,Suppressed
"Massac County, IL",17127,Suppressed,14080,Suppressed
"Menard County, IL",17129,Suppressed,12288,Suppressed
"Mercer County, IL",17131,Suppressed,15601,Suppressed
"Monroe County, IL",17133,Suppressed,34335,Suppressed
"Montgomery County, IL",17135,Suppressed,28601,Suppressed
"Morgan County, IL",17137,Suppressed,33976,Suppressed
"Moultrie County, IL",17139,Suppressed,14717,Suppressed
"Ogle County, IL",17141,Suppressed,50923,Suppressed
"Peoria County, IL",17143,41,180621,22.7
"Perry County, IL",17145,Suppressed,21174,Suppressed
"Piatt County, IL",17147,Suppressed,16396,Suppressed
"Pike County, IL",17149,Suppressed,15611,Suppressed
"Pope County, IL",17151,Suppressed,4212,Suppressed
"Pulaski County, IL",17153,Suppressed,5463,Suppressed
"Putnam County, IL",17155,Suppressed,5740,Suppressed
"Randolph County, IL",17157,Suppressed,32106,Suppressed
"Richland County, IL",17159,Suppressed,15763,Suppressed
"Rock Island County, IL",17161,Suppressed,143477,Suppressed
"St. Clair County, IL",17163,54,261059,20.7
"Saline County, IL",17165,Suppressed,23906,Suppressed
"Sangamon County, IL",17167,33,195348,16.9
"Schuyler County, IL",17169,Suppressed,6907,Suppressed
"Scott County, IL",17171,Suppressed,4926,Suppressed
"Shelby County, IL",17173,Suppressed,21741,Suppressed
"Stark County, IL",17175,Suppressed,5427,Suppressed
"Stephenson County, IL",17177,Suppressed,44753,Suppressed
"Tazewell County, IL",17179,19,132328,Unreliable
"Union County, IL",17181,Suppressed,16841,Suppressed
"Vermilion County, IL",17183,13,76806,Unreliable
"Wabash County, IL",17185,Suppressed,11549,Suppressed
"Warren County, IL",17187,Suppressed,17032,Suppressed
"Washington County, IL",17189,Suppressed,13995,Suppressed
"Wayne County, IL",17191,Suppressed,16332,Suppressed
"White County, IL",17193,Suppressed,13665,Suppressed
"Whiteside County, IL",17195,Suppressed,55626,Suppressed
"Will County, IL",17197,118,692310,17
"Williamson County, IL",17199,Suppressed,67056,Suppressed
"Winnebago County, IL",17201,129,284081,45.4
"Woodford County, IL",17203,Suppressed,38463,Suppressed
"Adams County, IN",18001,Suppressed,35636,Suppressed
"Allen County, IN",18003,44,375351,11.7
"Bartholomew County, IN",18005,11,82753,Unreliable
"Benton County, IN",18007,Suppressed,8653,Suppressed
"Blackford County, IN",18009,Suppressed,11930,Suppressed
"Boone County, IN",18011,14,66999,Unreliable
"Brown County, IN",18013,Suppressed,15234,Suppressed
"Carroll County, IN",18015,Suppressed,20127,Suppressed
"Cass County, IN",18017,Suppressed,37955,Suppressed
"Clark County, IN",18019,36,117360,30.7
"Clay County, IN",18021,Suppressed,26170,Suppressed
"Clinton County, IN",18023,Suppressed,32250,Suppressed
"Crawford County, IN",18025,Suppressed,10558,Suppressed
"Daviess County, IN",18027,Suppressed,33147,Suppressed
"Dearborn County, IN",18029,10,49568,Unreliable
"Decatur County, IN",18031,Suppressed,26794,Suppressed
"De Kalb County, IN",18033,Suppressed,43226,Suppressed
"Delaware County, IN",18035,12,114772,Unreliable
"Dubois County, IN",18037,Suppressed,42565,Suppressed
"Elkhart County, IN",18039,22,205560,10.7
"Fayette County, IN",18041,15,23047,Unreliable
"Floyd County, IN",18043,18,77781,Unreliable
"Fountain County, IN",18045,Suppressed,16351,Suppressed
"Franklin County, IN",18047,10,22736,Unreliable
"Fulton County, IN",18049,Suppressed,20092,Suppressed
"Gibson County, IN",18051,Suppressed,33452,Suppressed
"Grant County, IN",18053,10,65936,Unreliable
"Greene County, IN",18055,Suppressed,32006,Suppressed
"Hamilton County, IN",18057,30,330086,9.1
"Hancock County, IN",18059,16,76351,Unreliable
"Harrison County, IN",18061,Suppressed,40350,Suppressed
"Hendricks County, IN",18063,17,167009,Unreliable
"Henry County, IN",18065,Suppressed,48271,Suppressed
"Howard County, IN",18067,15,82366,Unreliable
"Huntington County, IN",18069,Suppressed,36240,Suppressed
"Jackson County, IN",18071,15,44111,Unreliable
"Jasper County, IN",18073,Suppressed,33370,Suppressed
"Jay County, IN",18075,Suppressed,20764,Suppressed
"Jefferson County, IN",18077,Suppressed,32208,Suppressed
"Jennings County, IN",18079,Suppressed,27611,Suppressed
"Johnson County, IN",18081,18,156225,Unreliable
"Knox County, IN",18083,Suppressed,36895,Suppressed
"Kosciusko County, IN",18085,Suppressed,79344,Suppressed
"Lagrange County, IN",18087,Suppressed,39330,Suppressed
"Lake County, IN",18089,97,484411,20
"La Porte County, IN",18091,14,110007,Unreliable
"Lawrence County, IN",18093,Suppressed,45668,Suppressed
"Madison County, IN",18095,17,129641,Unreliable
