Education_2017-2020_final_version,,,,,,,,
Year,Federal Information Processing Standard (FIPS) Code,State,Area name,Number of adults with less than HS diploma,Number of adults with HS diploma only,Number of adults completing some college or associate's degree,Number of adults with a bachelor's degree or higher,
2017,8073,CO,Lincoln County,1542.00,6754.77,3070.35,2278.88,
2017,8075,CO,Logan County,1868.09,8362.97,7081.37,4409.57,
2017,8077,CO,Mesa County,12887.36,41391.17,52913.98,44423.49,
2017,8079,CO,Mineral County,16.09,101.88,217.54,431.26,
2017,8081,CO,Moffat County,1050.48,5501.89,4096.87,2468.63,
2017,8083,CO,Montezuma County,2378.74,7815.86,8077.26,7842.00,
2017,8085,CO,Montrose County,4679.81,13245.53,12785.90,11072.76,
2017,8087,CO,Morgan County,22931.87,37071.22,38021.76,20793.15,
2017,8089,CO,Otero County,2235.77,5845.99,6780.62,3481.94,
2017,8091,CO,Ouray County,67.12,651.98,1860.07,2214.83,
2017,8093,CO,Park County,447.63,4512.06,7018.76,5926.56,
2017,8095,CO,Phillips County,2451.50,5218.73,6073.04,4828.72,
2017,8097,CO,Pitkin County,447.25,2433.04,3846.35,11145.47,
2017,8099,CO,Prowers County,2148.46,3536.51,4345.20,2039.83,
2017,8101,CO,Pueblo County,15815.13,48943.65,62428.13,39454.58,
2017,8103,CO,Rio Blanco County,545.70,2112.18,2227.74,1534.38,
2017,8105,CO,Rio Grande County,1231.81,3299.89,3503.31,3265.99,
2017,8107,CO,Routt County,832.26,4085.64,7465.12,12811.76,
2017,8109,CO,Saguache County,881.26,2034.18,2020.93,1689.63,
2017,8111,CO,San Juan County,24.31,213.79,175.18,301.73,
2017,8113,CO,San Miguel County,135.44,1378.29,1681.04,4772.23,
2017,8115,CO,Sedgwick County,264.87,616.47,937.60,525.06,
2017,8117,CO,Summit County,1682.18,5321.79,7432.16,16148.88,
2017,8119,CO,Teller County,542.21,6136.85,8847.91,9119.02,
2017,8121,CO,Washington County,1421.67,5141.14,6314.84,3653.35,
2017,8123,CO,Weld County,36251.33,77376.78,101138.16,89866.74,
2017,8125,CO,Yuma County,25941.75,58939.66,73882.10,48770.49,
2017,9001,CT,Fairfield County,93092.26,197583.57,190934.12,467361.13,
2017,9003,CT,Hartford County,86852.64,231010.10,226533.16,350992.10,
2017,9005,CT,Litchfield County,11112.80,53742.22,51373.91,65948.07,
2017,9007,CT,Middlesex County,8170.50,41179.32,42813.42,71246.76,
2017,9009,CT,New Haven County,83462.20,254688.76,207364.84,314919.21,
2017,9011,CT,New London County,18832.31,76943.44,80440.87,93085.42,
2017,9013,CT,Tolland County,7875.97,39531.32,39228.40,64825.31,
2017,9015,CT,Windham County,12334.05,40609.29,35024.06,28391.60,
2017,10001,DE,Kent County,19804.29,57998.27,53577.67,45443.77,
2017,10003,DE,New Castle County,42544.27,164019.35,142747.22,209922.38,
2017,10005,DE,Sussex County,23433.49,70075.14,63315.48,68497.89,
2017,12001,FL,Alachua County,18152.19,54189.63,73943.49,120658.69,
2017,12003,FL,Baker County,4016.19,12387.95,7608.13,4299.02,
2017,12005,FL,Bay County,18172.74,51764.77,66633.37,46992.13,
2017,12007,FL,Bradford County,4866.84,11220.77,7759.91,3190.48,
2017,12009,FL,Brevard County,44187.15,155538.77,202671.73,186764.35,
2017,12011,FL,Broward County,193587.80,518815.30,557532.86,664006.15,
2017,12013,FL,Calhoun County,25584.34,48415.22,29255.64,11472.80,
2017,12015,FL,Charlotte County,14926.71,61163.09,61163.09,44598.09,
2017,12017,FL,Citrus County,14710.35,55491.51,47335.28,28255.52,
2017,12019,FL,Clay County,1082.73,3796.23,4905.69,3582.36,
2017,12021,FL,Collier County,39152.40,98067.44,94338.64,141321.52,
2017,12023,FL,Columbia County,3189.65,8623.86,8174.94,3638.56,
2017,12027,FL,DeSoto County,9289.22,15445.18,7409.26,4681.47,
2017,12029,FL,Dixie County,3184.54,7969.69,3701.41,1800.68,
2017,12031,FL,Duval County,89103.73,263559.45,289821.61,295449.21,
2017,12033,FL,Escambia County,3520.02,10223.03,13443.47,10260.48,
2017,12035,FL,Flagler County,8509.27,35473.71,36468.30,30058.72,
2017,12037,FL,Franklin County,6645.45,10078.40,8125.71,6645.45,
2017,12039,FL,Gadsden County,8845.63,16401.28,11794.18,9029.92,
2017,12041,FL,Gilchrist County,2430.79,7469.80,5624.53,2217.88,
2017,12043,FL,Glades County,4208.72,4552.57,3149.67,1843.04,
2017,12045,FL,Gulf County,2149.28,5300.48,4977.28,3732.96,
2017,12047,FL,Hamilton County,3418.34,6482.09,3007.01,1276.56,
2017,12049,FL,Hardee County,6523.82,12718.70,5372.56,2795.92,
2017,12051,FL,Hendry County,12386.53,14363.53,10207.79,3429.50,
2017,12053,FL,Hernando County,20520.83,62681.81,67159.08,36191.28,
2017,12055,FL,Highlands County,14506.50,37140.76,31893.73,19342.00,
2017,12057,FL,Hillsborough County,152125.13,370452.86,384538.52,500040.93,
2017,12059,FL,Holmes County,3813.81,8957.56,4928.62,1858.01,
2017,12061,FL,Indian River County,13740.09,42764.09,48630.65,49402.56,
2017,12063,FL,Jackson County,8616.89,20711.69,15728.43,6851.99,
2017,12065,FL,Jefferson County,106789.91,228741.36,181938.37,141727.36,
2017,12067,FL,Lafayette County,1811.57,2923.21,1626.29,500.93,
2017,12069,FL,Lake County,6167.62,20109.00,21715.15,16254.24,
2017,12071,FL,Lee County,16483.61,49774.03,48319.60,46865.16,
2017,12073,FL,Leon County,19739.86,55155.48,78669.13,136727.53,
2017,12075,FL,Levy County,5004.02,17070.17,12146.86,6093.61,
2017,12077,FL,Liberty County,1895.66,3412.19,1821.48,1112.67,
2017,12079,FL,Madison County,70403.97,132864.93,110119.03,47297.03,
2017,12081,FL,Manatee County,37400.39,112201.16,111815.59,124153.86,
2017,12083,FL,Marion County,3460.63,10680.21,9278.06,6384.26,
2017,12085,FL,Martin County,12633.92,40620.44,51974.98,54693.67,
2017,12086,FL,Miami-Dade County,481564.30,726474.14,668686.43,872319.33,
